Date;Close
1995-05-01;514.260010
1995-05-02;514.859985
1995-05-03;520.479980
1995-05-04;520.539978
1995-05-05;520.119995
1995-05-08;523.960022
1995-05-09;523.559998
1995-05-10;524.359985
1995-05-11;524.369995
1995-05-12;525.549988
1995-05-15;527.739990
1995-05-16;528.190002
1995-05-17;527.070007
1995-05-18;519.580017
1995-05-19;519.190002
1995-05-22;523.650024
1995-05-23;528.590027
1995-05-24;528.609985
1995-05-25;528.590027
1995-05-26;523.650024
1995-05-30;523.580017
1995-05-31;533.400024
1995-06-01;533.489990
1995-06-02;532.510010
1995-06-05;535.599976
1995-06-06;535.549988
1995-06-07;533.130005
1995-06-08;532.349976
1995-06-09;527.940002
1995-06-12;530.880005
1995-06-13;536.049988
1995-06-14;536.469971
1995-06-15;537.119995
1995-06-16;539.830017
1995-06-19;545.219971
1995-06-20;544.979980
1995-06-21;543.979980
1995-06-22;551.070007
1995-06-23;549.710022
1995-06-26;544.130005
1995-06-27;542.429993
1995-06-28;544.729980
1995-06-29;543.869995
1995-06-30;544.750000
1995-07-03;547.090027
1995-07-05;547.260010
1995-07-06;553.989990
1995-07-07;556.369995
1995-07-10;557.190002
1995-07-11;554.780029
1995-07-12;560.890015
1995-07-13;561.000000
1995-07-14;559.890015
1995-07-17;562.719971
1995-07-18;558.460022
1995-07-19;550.979980
1995-07-20;553.539978
1995-07-21;553.619995
1995-07-24;556.630005
1995-07-25;561.099976
1995-07-26;561.609985
1995-07-27;565.219971
1995-07-28;562.929993
1995-07-31;562.059998
1995-08-01;559.640015
1995-08-02;558.799988
1995-08-03;558.750000
1995-08-04;558.940002
1995-08-07;560.030029
1995-08-08;560.390015
1995-08-09;559.710022
1995-08-10;557.450012
1995-08-11;555.109985
1995-08-14;559.739990
1995-08-15;558.570007
1995-08-16;559.969971
1995-08-17;559.039978
1995-08-18;559.210022
1995-08-21;558.109985
1995-08-22;559.520020
1995-08-23;557.140015
1995-08-24;557.460022
1995-08-25;560.099976
1995-08-28;559.049988
1995-08-29;560.000000
1995-08-30;560.919983
1995-08-31;561.880005
1995-09-01;563.840027
1995-09-05;569.169983
1995-09-06;570.169983
1995-09-07;570.289978
1995-09-08;572.679993
1995-09-11;573.909973
1995-09-12;576.510010
1995-09-13;578.770020
1995-09-14;583.609985
1995-09-15;583.349976
1995-09-18;582.770020
1995-09-19;584.200012
1995-09-20;586.770020
1995-09-21;583.000000
1995-09-22;581.729980
1995-09-25;581.809998
1995-09-26;581.409973
1995-09-27;581.039978
1995-09-28;585.869995
1995-09-29;584.409973
1995-10-02;581.719971
1995-10-03;582.340027
1995-10-04;581.469971
1995-10-05;582.630005
1995-10-06;582.489990
1995-10-09;578.369995
1995-10-10;577.520020
1995-10-11;579.460022
1995-10-12;583.099976
1995-10-13;584.500000
1995-10-16;583.030029
1995-10-17;586.780029
1995-10-18;587.440002
1995-10-19;590.650024
1995-10-20;587.460022
1995-10-23;585.059998
1995-10-24;586.539978
1995-10-25;582.469971
1995-10-26;576.719971
1995-10-27;579.700012
1995-10-30;583.250000
1995-10-31;581.500000
1995-11-01;584.219971
1995-11-02;589.719971
1995-11-03;590.570007
1995-11-06;588.460022
1995-11-07;586.320007
1995-11-08;591.710022
1995-11-09;593.260010
1995-11-10;592.719971
1995-11-13;592.299988
1995-11-14;589.289978
1995-11-15;593.960022
1995-11-16;597.340027
1995-11-17;600.070007
1995-11-20;596.849976
1995-11-21;600.239990
1995-11-22;598.400024
1995-11-24;599.969971
1995-11-27;601.320007
1995-11-28;606.450012
1995-11-29;607.640015
1995-11-30;605.369995
1995-12-01;606.979980
1995-12-04;613.679993
1995-12-05;617.679993
1995-12-06;620.179993
1995-12-07;616.169983
1995-12-08;617.479980
1995-12-11;619.520020
1995-12-12;618.780029
1995-12-13;621.690002
1995-12-14;616.919983
1995-12-15;616.340027
1995-12-18;606.809998
